Test loss: 3.7519450187683105, Accuracy: 13.41
Test loss: 3.0739223957061768, Accuracy: 23.39
Test loss: 2.8199315071105957, Accuracy: 28.79
Test loss: 2.576991558074951, Accuracy: 33.160000000000004
Test loss: 2.4992027282714844, Accuracy: 34.55
Test loss: 2.3988842964172363, Accuracy: 38.24
Test loss: 2.3151793479919434, Accuracy: 39.56
Test loss: 2.2361299991607666, Accuracy: 41.22
Test loss: 2.2390527725219727, Accuracy: 41.81
Test loss: 2.192866086959839, Accuracy: 42.68
Test loss: 2.155670404434204, Accuracy: 43.74
Test loss: 2.1813480854034424, Accuracy: 43.269999999999996
Test loss: 2.1260581016540527, Accuracy: 44.800000000000004
Test loss: 2.1252198219299316, Accuracy: 44.7
Test loss: 2.124652862548828, Accuracy: 45.11
Test loss: 2.1192402839660645, Accuracy: 44.58
Test loss: 2.0630042552948, Accuracy: 45.92
Test loss: 2.0340936183929443, Accuracy: 46.47
