Test loss: 2.2974023818969727, Accuracy: 12.540000000000001
Test loss: 2.2922403812408447, Accuracy: 13.850000000000001
Test loss: 2.2870800495147705, Accuracy: 24.169999999999998
Test loss: 2.2815041542053223, Accuracy: 30.990000000000002
Test loss: 2.2751317024230957, Accuracy: 31.630000000000003
Test loss: 2.266988754272461, Accuracy: 34.42
Test loss: 2.2575528621673584, Accuracy: 37.169999999999995
Test loss: 2.2455990314483643, Accuracy: 41.74
Test loss: 2.2303361892700195, Accuracy: 44.690000000000005
Test loss: 2.2101974487304688, Accuracy: 46.93
Test loss: 2.1823716163635254, Accuracy: 48.35
Test loss: 2.1446616649627686, Accuracy: 50.949999999999996
Test loss: 2.0919601917266846, Accuracy: 54.48
Test loss: 2.0122337341308594, Accuracy: 57.63
Test loss: 1.8958591222763062, Accuracy: 62.49
Test loss: 1.7358137369155884, Accuracy: 64.99000000000001
Test loss: 1.5253502130508423, Accuracy: 67.74
Test loss: 1.3063931465148926, Accuracy: 69.66
Test loss: 1.5727910995483398, Accuracy: 48.99
Test loss: 1.2287944555282593, Accuracy: 63.080000000000005
Test loss: 1.0810884237289429, Accuracy: 69.88
Test loss: 1.128726840019226, Accuracy: 62.78
Test loss: 0.8498719930648804, Accuracy: 77.0
Test loss: 1.0093719959259033, Accuracy: 67.58999999999999
Test loss: 0.8396967053413391, Accuracy: 71.03
Test loss: 0.9246692657470703, Accuracy: 69.98
Test loss: 0.7169821858406067, Accuracy: 77.64
Test loss: 0.8304844498634338, Accuracy: 70.09
Test loss: 0.6605142951011658, Accuracy: 80.77
Test loss: 0.5825618505477905, Accuracy: 82.89999999999999
Test loss: 0.7603673934936523, Accuracy: 71.47
Test loss: 0.6015635132789612, Accuracy: 80.89
Test loss: 0.5732440948486328, Accuracy: 81.57
Test loss: 0.7501819729804993, Accuracy: 76.25999999999999
Test loss: 0.5816600918769836, Accuracy: 82.47
Test loss: 0.5396523475646973, Accuracy: 83.48
Test loss: 0.6171296834945679, Accuracy: 79.43
Test loss: 0.5688844323158264, Accuracy: 80.12
Test loss: 0.4880046248435974, Accuracy: 85.76
Test loss: 0.5153105854988098, Accuracy: 84.03
Test loss: 0.5784946084022522, Accuracy: 81.08
Test loss: 0.45027652382850647, Accuracy: 86.72
Test loss: 0.6248554587364197, Accuracy: 80.84
Test loss: 0.7731537818908691, Accuracy: 75.63
Test loss: 0.49787482619285583, Accuracy: 85.22
Test loss: 0.45466476678848267, Accuracy: 87.05000000000001
Test loss: 0.5467985272407532, Accuracy: 83.02000000000001
Test loss: 0.7356644868850708, Accuracy: 78.36
Test loss: 0.49591875076293945, Accuracy: 85.06
Test loss: 0.4767613112926483, Accuracy: 86.15
Test loss: 0.7705568075180054, Accuracy: 74.69
Test loss: 0.4884597957134247, Accuracy: 85.67
Test loss: 0.44621244072914124, Accuracy: 86.37
Test loss: 0.5375344157218933, Accuracy: 82.84
Test loss: 0.7253843545913696, Accuracy: 74.68
Test loss: 0.44732633233070374, Accuracy: 87.26
Test loss: 0.5313286781311035, Accuracy: 82.55
Test loss: 0.9127230048179626, Accuracy: 71.75
Test loss: 0.5363529920578003, Accuracy: 84.17
Test loss: 0.49822738766670227, Accuracy: 85.28
Test loss: 0.585476815700531, Accuracy: 81.98
Test loss: 0.7342178821563721, Accuracy: 75.06
Test loss: 0.7929140329360962, Accuracy: 74.44
Test loss: 0.7867206335067749, Accuracy: 73.2
Test loss: 0.6474016904830933, Accuracy: 80.86
Test loss: 0.6070807576179504, Accuracy: 80.31
Test loss: 0.6174325942993164, Accuracy: 79.82000000000001
Test loss: 0.7020403146743774, Accuracy: 77.32
Test loss: 0.8570966720581055, Accuracy: 72.18
Test loss: 0.7415831089019775, Accuracy: 74.7
Test loss: 0.9340984225273132, Accuracy: 71.28
Test loss: 0.5550543665885925, Accuracy: 82.39999999999999
Test loss: 0.7084212303161621, Accuracy: 78.23
Test loss: 0.7129361629486084, Accuracy: 77.82
Test loss: 0.8092123866081238, Accuracy: 74.63
Test loss: 0.5662245750427246, Accuracy: 81.64
Test loss: 0.5974841117858887, Accuracy: 80.96
Test loss: 1.1833831071853638, Accuracy: 63.690000000000005
Test loss: 1.8156113624572754, Accuracy: 41.79
Test loss: 1.6149654388427734, Accuracy: 46.760000000000005
