Test loss: 2.300816297531128, Accuracy: 12.959999999999999
Test loss: 2.2972257137298584, Accuracy: 10.84
Test loss: 2.293407440185547, Accuracy: 11.72
Test loss: 2.288907051086426, Accuracy: 11.55
Test loss: 2.2837445735931396, Accuracy: 14.19
Test loss: 2.2776174545288086, Accuracy: 18.77
Test loss: 2.270524024963379, Accuracy: 24.64
Test loss: 2.260241746902466, Accuracy: 36.47
Test loss: 2.2451953887939453, Accuracy: 38.86
Test loss: 2.2278642654418945, Accuracy: 43.99
Test loss: 2.202335834503174, Accuracy: 46.0
Test loss: 2.1653430461883545, Accuracy: 49.79
Test loss: 2.1096653938293457, Accuracy: 51.519999999999996
Test loss: 2.0108587741851807, Accuracy: 52.44
Test loss: 1.8723673820495605, Accuracy: 57.28
Test loss: 1.710688829421997, Accuracy: 56.39999999999999
Test loss: 2.229337453842163, Accuracy: 19.68
Test loss: 1.6828722953796387, Accuracy: 47.13
Test loss: 1.352596640586853, Accuracy: 57.330000000000005
Test loss: 1.610522747039795, Accuracy: 42.96
Test loss: 1.0709649324417114, Accuracy: 69.47
Test loss: 0.8630462884902954, Accuracy: 71.46000000000001
Test loss: 1.674930214881897, Accuracy: 45.69
Test loss: 1.1288522481918335, Accuracy: 62.019999999999996
Test loss: 0.8230810165405273, Accuracy: 72.94
Test loss: 0.7411088943481445, Accuracy: 73.53
Test loss: 1.0173380374908447, Accuracy: 64.92999999999999
Test loss: 0.7761935591697693, Accuracy: 72.46000000000001
Test loss: 0.6888373494148254, Accuracy: 74.64
Test loss: 0.6486857533454895, Accuracy: 77.55
Test loss: 0.536345362663269, Accuracy: 81.16
Test loss: 0.49151384830474854, Accuracy: 82.99
Test loss: 0.44696617126464844, Accuracy: 85.39999999999999
Test loss: 0.42566943168640137, Accuracy: 86.08
Test loss: 0.3998248279094696, Accuracy: 86.64
Test loss: 0.43269288539886475, Accuracy: 86.94
Test loss: 0.4790448546409607, Accuracy: 84.78
Test loss: 0.36907684803009033, Accuracy: 87.02
Test loss: 0.33350181579589844, Accuracy: 89.84
Test loss: 0.33351120352745056, Accuracy: 89.41
Test loss: 0.4128068685531616, Accuracy: 87.9
Test loss: 0.31621575355529785, Accuracy: 90.08
Test loss: 0.2908198833465576, Accuracy: 90.96
Test loss: 0.29847490787506104, Accuracy: 90.74
Test loss: 0.2751787006855011, Accuracy: 91.62
Test loss: 0.2744351923465729, Accuracy: 91.86999999999999
Test loss: 0.2572420835494995, Accuracy: 92.62
Test loss: 0.24820926785469055, Accuracy: 92.81
Test loss: 0.25145307183265686, Accuracy: 92.88
Test loss: 0.23125317692756653, Accuracy: 93.64
Test loss: 0.2183120846748352, Accuracy: 93.8
Test loss: 0.2178214192390442, Accuracy: 93.56
Test loss: 0.2042253613471985, Accuracy: 94.25
Test loss: 0.2255885750055313, Accuracy: 93.72
Test loss: 0.20161694288253784, Accuracy: 94.01
Test loss: 0.22124303877353668, Accuracy: 93.28999999999999
Test loss: 0.21018649637699127, Accuracy: 94.05
Test loss: 0.18396081030368805, Accuracy: 94.67
Test loss: 0.19156965613365173, Accuracy: 94.15
Test loss: 0.16645582020282745, Accuracy: 94.77
Test loss: 0.16632404923439026, Accuracy: 94.93
Test loss: 0.1855214536190033, Accuracy: 94.84
Test loss: 0.18991616368293762, Accuracy: 95.13000000000001
Test loss: 0.1682705134153366, Accuracy: 95.35
Test loss: 0.16174079477787018, Accuracy: 95.54
Test loss: 0.19399528205394745, Accuracy: 94.6
Test loss: 0.15292736887931824, Accuracy: 95.62
Test loss: 0.1479063332080841, Accuracy: 95.62
Test loss: 0.14064021408557892, Accuracy: 96.00999999999999
Test loss: 0.20968344807624817, Accuracy: 94.27
Test loss: 0.14342302083969116, Accuracy: 95.96000000000001
Test loss: 0.14102880656719208, Accuracy: 95.75
Test loss: 0.13198459148406982, Accuracy: 96.06
Test loss: 0.14935562014579773, Accuracy: 95.45
Test loss: 0.12818416953086853, Accuracy: 96.11
Test loss: 0.13826853036880493, Accuracy: 95.92
Test loss: 0.13271167874336243, Accuracy: 95.89
Test loss: 0.1095302551984787, Accuracy: 96.55
Test loss: 0.12742792069911957, Accuracy: 95.96000000000001
Test loss: 0.1557275354862213, Accuracy: 95.53
