Test loss: 2.2968297004699707, Accuracy: 12.53
Test loss: 2.2912137508392334, Accuracy: 14.16
Test loss: 2.2854464054107666, Accuracy: 26.790000000000003
Test loss: 2.2790791988372803, Accuracy: 29.75
Test loss: 2.2716617584228516, Accuracy: 32.43
Test loss: 2.262174129486084, Accuracy: 34.97
Test loss: 2.2503979206085205, Accuracy: 38.019999999999996
Test loss: 2.2369673252105713, Accuracy: 42.74
Test loss: 2.2206506729125977, Accuracy: 42.9
Test loss: 2.1960160732269287, Accuracy: 46.07
Test loss: 2.161463975906372, Accuracy: 44.34
Test loss: 2.10681414604187, Accuracy: 54.43
Test loss: 2.033907175064087, Accuracy: 57.709999999999994
Test loss: 1.9232009649276733, Accuracy: 60.650000000000006
Test loss: 1.7632242441177368, Accuracy: 63.800000000000004
Test loss: 1.5427905321121216, Accuracy: 67.72
Test loss: 1.3161371946334839, Accuracy: 71.61999999999999
Test loss: 1.4355357885360718, Accuracy: 45.2
Test loss: 1.4862183332443237, Accuracy: 52.52
Test loss: 1.0911436080932617, Accuracy: 71.65
Test loss: 1.1248399019241333, Accuracy: 65.74
Test loss: 1.335937738418579, Accuracy: 57.230000000000004
Test loss: 0.8912661671638489, Accuracy: 71.38
Test loss: 0.9017665982246399, Accuracy: 69.86
Test loss: 0.9064375758171082, Accuracy: 70.03
Test loss: 0.914670467376709, Accuracy: 71.82
Test loss: 0.6580480337142944, Accuracy: 79.09
Test loss: 0.7378026843070984, Accuracy: 74.37
Test loss: 1.120708703994751, Accuracy: 68.35
Test loss: 0.9061301946640015, Accuracy: 69.32000000000001
Test loss: 0.9497504830360413, Accuracy: 67.49000000000001
Test loss: 0.8519906997680664, Accuracy: 71.73
Test loss: 1.5150898694992065, Accuracy: 56.220000000000006
Test loss: 1.2742650508880615, Accuracy: 57.79
Test loss: 0.8544549345970154, Accuracy: 71.59
Test loss: 1.1539576053619385, Accuracy: 62.27
Test loss: 1.2493163347244263, Accuracy: 55.48
Test loss: 1.3673733472824097, Accuracy: 59.18
Test loss: 0.9398133754730225, Accuracy: 68.62
Test loss: 1.0598180294036865, Accuracy: 66.08000000000001
Test loss: 1.0132761001586914, Accuracy: 69.02000000000001
Test loss: 0.8467346429824829, Accuracy: 73.24000000000001
Test loss: 1.4510235786437988, Accuracy: 53.849999999999994
Test loss: 3.749985933303833, Accuracy: 32.08
Test loss: 2.150730609893799, Accuracy: 40.71
Test loss: 1.7919622659683228, Accuracy: 37.22
Test loss: 1.869787335395813, Accuracy: 45.81
Test loss: 4.527371406555176, Accuracy: 38.71
Test loss: 2.3524370193481445, Accuracy: 11.81
Test loss: 2.1309633255004883, Accuracy: 26.46
Test loss: 2.5322890281677246, Accuracy: 32.33
Test loss: 4.707850933074951, Accuracy: 25.77
Test loss: 2.511136293411255, Accuracy: 19.96
Test loss: 2.809966802597046, Accuracy: 14.180000000000001
Test loss: 9.3416109085083, Accuracy: 7.48
Test loss: 2.6374151706695557, Accuracy: 5.46
Test loss: 17.185714721679688, Accuracy: 9.69
Test loss: 2.4881348609924316, Accuracy: 9.91
Test loss: 2.8666460514068604, Accuracy: 12.950000000000001
Test loss: 4.077945232391357, Accuracy: 9.81
Test loss: 11.336054801940918, Accuracy: 13.03
Test loss: 10.656015396118164, Accuracy: 13.850000000000001
Test loss: 15.551295280456543, Accuracy: 11.25
Test loss: 5.587520599365234, Accuracy: 9.98
Test loss: 6.211841583251953, Accuracy: 11.57
Test loss: 12.477522850036621, Accuracy: 16.37
Test loss: 18.085371017456055, Accuracy: 8.129999999999999
Test loss: 9.248478889465332, Accuracy: 16.34
Test loss: 35.404640197753906, Accuracy: 9.02
Test loss: 161.32736206054688, Accuracy: 8.92
Test loss: 979.8152465820312, Accuracy: 8.4
Test loss: 862.89111328125, Accuracy: 10.75
Test loss: 106051.2109375, Accuracy: 2.97
Test loss: 4.670684974985792e+22, Accuracy: 7.960000000000001
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
Test loss: nan, Accuracy: 9.8
