Test loss: 2.3017215728759766, Accuracy: 11.63
Test loss: 2.298987865447998, Accuracy: 10.01
Test loss: 2.2961313724517822, Accuracy: 10.84
Test loss: 2.2928764820098877, Accuracy: 11.3
Test loss: 2.289231061935425, Accuracy: 11.709999999999999
Test loss: 2.285069227218628, Accuracy: 11.95
Test loss: 2.280482769012451, Accuracy: 14.01
Test loss: 2.2740225791931152, Accuracy: 19.62
Test loss: 2.2652153968811035, Accuracy: 23.5
Test loss: 2.2558858394622803, Accuracy: 30.59
Test loss: 2.243088960647583, Accuracy: 35.29
Test loss: 2.226133108139038, Accuracy: 40.81
Test loss: 2.2033965587615967, Accuracy: 45.53
Test loss: 2.1648688316345215, Accuracy: 49.61
Test loss: 2.113067865371704, Accuracy: 53.97
Test loss: 2.0426180362701416, Accuracy: 53.64
Test loss: 1.9257535934448242, Accuracy: 50.54
Test loss: 1.8095823526382446, Accuracy: 41.660000000000004
Test loss: 1.868389368057251, Accuracy: 55.33
Test loss: 1.5860755443572998, Accuracy: 61.970000000000006
Test loss: 1.384007453918457, Accuracy: 64.32
Test loss: 1.961050271987915, Accuracy: 38.019999999999996
Test loss: 1.407212734222412, Accuracy: 51.67
Test loss: 1.0741543769836426, Accuracy: 66.34
Test loss: 1.4905184507369995, Accuracy: 42.8
Test loss: 0.9733022451400757, Accuracy: 66.74
Test loss: 1.0904481410980225, Accuracy: 60.68
Test loss: 1.0547913312911987, Accuracy: 65.8
Test loss: 0.8511632680892944, Accuracy: 69.33
Test loss: 0.8617918491363525, Accuracy: 69.12
Test loss: 0.6517607569694519, Accuracy: 77.3
Test loss: 0.6525861024856567, Accuracy: 78.51
Test loss: 0.6797930598258972, Accuracy: 74.76
Test loss: 0.5295394659042358, Accuracy: 82.66
Test loss: 0.5510850548744202, Accuracy: 80.46
Test loss: 0.48590925335884094, Accuracy: 84.22
Test loss: 0.5268652439117432, Accuracy: 84.11999999999999
Test loss: 0.5238168835639954, Accuracy: 82.08
Test loss: 0.4451863169670105, Accuracy: 84.47
Test loss: 0.4372345507144928, Accuracy: 85.96000000000001
Test loss: 0.4002268314361572, Accuracy: 86.9
Test loss: 0.3836197853088379, Accuracy: 87.83
Test loss: 0.3546871840953827, Accuracy: 88.52
Test loss: 0.38546091318130493, Accuracy: 87.09
Test loss: 0.3535715639591217, Accuracy: 88.81
Test loss: 0.4397624731063843, Accuracy: 86.27
Test loss: 0.3632132112979889, Accuracy: 87.89
Test loss: 0.3805868923664093, Accuracy: 89.08
Test loss: 0.3312159478664398, Accuracy: 90.32
Test loss: 0.29306456446647644, Accuracy: 90.78
Test loss: 0.2654886245727539, Accuracy: 92.2
Test loss: 0.2737632095813751, Accuracy: 91.7
Test loss: 0.26219412684440613, Accuracy: 92.47
Test loss: 0.2466297149658203, Accuracy: 92.83
Test loss: 0.30061468482017517, Accuracy: 91.06
Test loss: 0.2536981701850891, Accuracy: 92.30000000000001
Test loss: 0.2268165498971939, Accuracy: 93.35
Test loss: 0.20522332191467285, Accuracy: 93.94
Test loss: 0.20529407262802124, Accuracy: 94.28999999999999
Test loss: 0.20147453248500824, Accuracy: 94.15
Test loss: 0.2043849229812622, Accuracy: 94.01
Test loss: 0.2814883291721344, Accuracy: 92.78
Test loss: 0.20779554545879364, Accuracy: 94.16
Test loss: 0.2119443714618683, Accuracy: 93.95
Test loss: 0.22060222923755646, Accuracy: 93.38
Test loss: 0.2838931679725647, Accuracy: 92.19000000000001
Test loss: 0.2074466347694397, Accuracy: 94.24
Test loss: 0.17927265167236328, Accuracy: 95.06
Test loss: 0.20282591879367828, Accuracy: 94.39999999999999
Test loss: 0.18423831462860107, Accuracy: 95.04
Test loss: 0.179966539144516, Accuracy: 94.8
Test loss: 0.2042207270860672, Accuracy: 93.92
Test loss: 0.17030781507492065, Accuracy: 95.15
Test loss: 0.15311816334724426, Accuracy: 95.57
Test loss: 0.15836438536643982, Accuracy: 95.17999999999999
Test loss: 0.1443856954574585, Accuracy: 95.65
Test loss: 0.17961227893829346, Accuracy: 94.49
Test loss: 0.14025962352752686, Accuracy: 95.64
Test loss: 0.15817858278751373, Accuracy: 95.30999999999999
Test loss: 0.17831066250801086, Accuracy: 95.12
