Test loss: 2.5670642852783203, Accuracy: 10.0
Test loss: nan, Accuracy: 10.0
Test loss: 2.4879958629608154, Accuracy: 12.86
Test loss: 2.8120672702789307, Accuracy: 10.17
Test loss: 2.553248405456543, Accuracy: 13.950000000000001
Test loss: 2.1129250526428223, Accuracy: 23.43
Test loss: 2.4607009887695312, Accuracy: 20.34
Test loss: 1.554985761642456, Accuracy: 43.230000000000004
Test loss: 1.9809496402740479, Accuracy: 27.99
Test loss: 1.5135341882705688, Accuracy: 41.36
Test loss: 1.3777052164077759, Accuracy: 48.11
Test loss: 1.4703407287597656, Accuracy: 47.25
Test loss: 1.3437342643737793, Accuracy: 50.449999999999996
Test loss: 1.4208850860595703, Accuracy: 49.97
Test loss: 1.4088038206100464, Accuracy: 49.82
Test loss: 1.5126111507415771, Accuracy: 50.31
Test loss: 1.3637586832046509, Accuracy: 50.19
Test loss: 1.2207831144332886, Accuracy: 56.39999999999999
Test loss: 1.5323442220687866, Accuracy: 46.08
Test loss: 1.6129059791564941, Accuracy: 44.81
Test loss: 1.434857964515686, Accuracy: 48.64
Test loss: 1.4567077159881592, Accuracy: 50.160000000000004
Test loss: 1.4654443264007568, Accuracy: 47.42
Test loss: 1.2830722332000732, Accuracy: 53.52
Test loss: 1.3126896619796753, Accuracy: 54.22
Test loss: 1.3486181497573853, Accuracy: 51.53
Test loss: 1.2137340307235718, Accuracy: 57.65
Test loss: 1.2824212312698364, Accuracy: 54.26
Test loss: 1.2923848628997803, Accuracy: 54.25
Test loss: 1.1243698596954346, Accuracy: 60.760000000000005
