Test loss: 1.8775449991226196, Accuracy: 30.75
Test loss: 1.634782314300537, Accuracy: 37.25
Test loss: 1.4868741035461426, Accuracy: 43.980000000000004
Test loss: 1.3621585369110107, Accuracy: 48.18
Test loss: 1.3167140483856201, Accuracy: 51.07000000000001
Test loss: 1.2934956550598145, Accuracy: 53.56999999999999
Test loss: 1.1809478998184204, Accuracy: 57.120000000000005
Test loss: 1.1262354850769043, Accuracy: 59.77
Test loss: 1.0676560401916504, Accuracy: 62.1
Test loss: 1.0683757066726685, Accuracy: 62.56
Test loss: 1.1066526174545288, Accuracy: 61.59
Test loss: 1.0387464761734009, Accuracy: 64.12
Test loss: 1.0281319618225098, Accuracy: 64.55
Test loss: 0.9987878799438477, Accuracy: 65.23
Test loss: 0.9796134829521179, Accuracy: 67.06
Test loss: 1.0528278350830078, Accuracy: 65.67
Test loss: 1.087729573249817, Accuracy: 64.52
Test loss: 1.0036585330963135, Accuracy: 66.41
Test loss: 0.9385276436805725, Accuracy: 68.37
Test loss: 1.0118824243545532, Accuracy: 66.57
