Test loss: 3.698680877685547, Accuracy: 14.59
Test loss: 3.135984182357788, Accuracy: 22.46
Test loss: 2.8599331378936768, Accuracy: 28.470000000000002
Test loss: 2.6085739135742188, Accuracy: 33.01
Test loss: 2.5192434787750244, Accuracy: 34.52
Test loss: 2.4142048358917236, Accuracy: 37.37
Test loss: 2.3278234004974365, Accuracy: 39.14
Test loss: 2.251382350921631, Accuracy: 41.3
Test loss: 2.2591664791107178, Accuracy: 41.449999999999996
Test loss: 2.204608678817749, Accuracy: 42.970000000000006
Test loss: 2.1783151626586914, Accuracy: 42.870000000000005
Test loss: 2.191864252090454, Accuracy: 42.870000000000005
Test loss: 2.1349568367004395, Accuracy: 44.59
Test loss: 2.1527748107910156, Accuracy: 44.5
Test loss: 2.1404099464416504, Accuracy: 44.6
Test loss: 2.143599271774292, Accuracy: 44.2
Test loss: 2.0910990238189697, Accuracy: 45.23
Test loss: 2.058164358139038, Accuracy: 46.6
