Test loss: 3.9012866020202637, Accuracy: 12.04
Test loss: 3.2931861877441406, Accuracy: 20.11
Test loss: 3.077266216278076, Accuracy: 24.6
Test loss: 2.8310160636901855, Accuracy: 28.68
Test loss: 2.69246244430542, Accuracy: 31.069999999999997
Test loss: 2.559980869293213, Accuracy: 34.71
Test loss: 2.4498510360717773, Accuracy: 37.15
Test loss: 2.334792375564575, Accuracy: 39.290000000000006
Test loss: 2.320408821105957, Accuracy: 39.739999999999995
Test loss: 2.2520406246185303, Accuracy: 41.42
Test loss: 2.221694231033325, Accuracy: 42.57
Test loss: 2.242344379425049, Accuracy: 41.730000000000004
Test loss: 2.1719906330108643, Accuracy: 43.94
Test loss: 2.179370880126953, Accuracy: 43.730000000000004
Test loss: 2.1659533977508545, Accuracy: 43.85
Test loss: 2.1774139404296875, Accuracy: 43.22
Test loss: 2.1319403648376465, Accuracy: 45.01
Test loss: 2.110790491104126, Accuracy: 45.42
