Test loss: 1.742483377456665, Accuracy: 38.06
Test loss: 1.4688825607299805, Accuracy: 45.43
Test loss: 1.3503698110580444, Accuracy: 49.99
Test loss: 1.263235330581665, Accuracy: 53.65
Test loss: 1.1950106620788574, Accuracy: 56.830000000000005
Test loss: 1.142395257949829, Accuracy: 59.25
Test loss: 1.0968291759490967, Accuracy: 61.629999999999995
Test loss: 1.0528185367584229, Accuracy: 63.63999999999999
Test loss: 1.0341240167617798, Accuracy: 65.03
Test loss: 1.010944128036499, Accuracy: 66.47999999999999
Test loss: 0.9992619156837463, Accuracy: 67.22
Test loss: 0.991218626499176, Accuracy: 67.81
Test loss: 0.987533450126648, Accuracy: 68.39
Test loss: 0.9745997190475464, Accuracy: 69.19
Test loss: 0.9766650795936584, Accuracy: 69.58
Test loss: 0.9675540924072266, Accuracy: 70.27
Test loss: 0.9771215319633484, Accuracy: 70.15
Test loss: 0.9849837422370911, Accuracy: 70.03
Test loss: 0.9675175547599792, Accuracy: 70.59
Test loss: 0.9733773469924927, Accuracy: 70.85000000000001
