Test loss: 2.2980878353118896, Accuracy: 12.1
Test loss: 2.2936010360717773, Accuracy: 12.989999999999998
Test loss: 2.289048910140991, Accuracy: 19.18
Test loss: 2.2840611934661865, Accuracy: 29.020000000000003
Test loss: 2.2785210609436035, Accuracy: 31.069999999999997
Test loss: 2.271728754043579, Accuracy: 32.66
Test loss: 2.263711929321289, Accuracy: 35.32
Test loss: 2.253378391265869, Accuracy: 38.879999999999995
Test loss: 2.240673065185547, Accuracy: 41.36
Test loss: 2.22477388381958, Accuracy: 43.37
Test loss: 2.203460931777954, Accuracy: 44.84
Test loss: 2.174959659576416, Accuracy: 47.77
Test loss: 2.137237787246704, Accuracy: 51.44
Test loss: 2.078953504562378, Accuracy: 56.46
Test loss: 1.9980372190475464, Accuracy: 61.44
Test loss: 1.8837535381317139, Accuracy: 63.629999999999995
Test loss: 1.7231847047805786, Accuracy: 65.05
Test loss: 1.5155129432678223, Accuracy: 67.43
Test loss: 1.3291071653366089, Accuracy: 70.16
Test loss: 1.958301067352295, Accuracy: 59.489999999999995
Test loss: 1.4249625205993652, Accuracy: 63.36000000000001
Test loss: 1.3197792768478394, Accuracy: 56.879999999999995
Test loss: 0.9356123208999634, Accuracy: 75.18
Test loss: 0.953203558921814, Accuracy: 72.59
Test loss: 1.0639163255691528, Accuracy: 66.97
Test loss: 0.7536941766738892, Accuracy: 76.94
Test loss: 0.7946634292602539, Accuracy: 73.97
Test loss: 0.8113422989845276, Accuracy: 71.78
Test loss: 0.763073742389679, Accuracy: 74.42
Test loss: 0.6291748881340027, Accuracy: 81.07
Test loss: 0.5845927596092224, Accuracy: 81.11
Test loss: 0.5485813617706299, Accuracy: 82.69
Test loss: 0.5226534605026245, Accuracy: 83.65
Test loss: 0.6125991940498352, Accuracy: 78.75
Test loss: 0.5449061393737793, Accuracy: 82.27
Test loss: 0.49996867775917053, Accuracy: 84.28999999999999
Test loss: 0.48392507433891296, Accuracy: 84.76
Test loss: 0.5247205495834351, Accuracy: 83.02000000000001
Test loss: 0.4253217875957489, Accuracy: 87.62
Test loss: 0.4077512323856354, Accuracy: 88.25
Test loss: 0.3990482687950134, Accuracy: 88.29
Test loss: 0.3940003216266632, Accuracy: 87.92999999999999
Test loss: 0.43371203541755676, Accuracy: 85.94000000000001
Test loss: 0.38289761543273926, Accuracy: 88.6
Test loss: 0.3579748868942261, Accuracy: 89.56
Test loss: 0.35357868671417236, Accuracy: 89.67
Test loss: 0.3908410668373108, Accuracy: 87.46000000000001
Test loss: 0.36617961525917053, Accuracy: 88.96
Test loss: 0.3355786204338074, Accuracy: 90.45
Test loss: 0.32496485114097595, Accuracy: 90.60000000000001
Test loss: 0.3185659945011139, Accuracy: 90.7
Test loss: 0.3082732856273651, Accuracy: 91.0
Test loss: 0.30487990379333496, Accuracy: 91.07
Test loss: 0.30132636427879333, Accuracy: 91.07
Test loss: 0.29357102513313293, Accuracy: 91.44
Test loss: 0.29284054040908813, Accuracy: 91.25999999999999
Test loss: 0.2873837947845459, Accuracy: 91.61
Test loss: 0.30296626687049866, Accuracy: 90.7
Test loss: 0.31642377376556396, Accuracy: 90.34
Test loss: 0.297588586807251, Accuracy: 90.84
Test loss: 0.2680155038833618, Accuracy: 92.13
Test loss: 0.2646401524543762, Accuracy: 92.25
Test loss: 0.26041531562805176, Accuracy: 92.11
Test loss: 0.2618164122104645, Accuracy: 92.29
Test loss: 0.25176379084587097, Accuracy: 92.58999999999999
Test loss: 0.24813805520534515, Accuracy: 92.83
Test loss: 0.24243463575839996, Accuracy: 92.92
Test loss: 0.23758305609226227, Accuracy: 93.04
Test loss: 0.23865246772766113, Accuracy: 92.95
Test loss: 0.23822997510433197, Accuracy: 92.82000000000001
Test loss: 0.2338433861732483, Accuracy: 93.08
Test loss: 0.22540627419948578, Accuracy: 93.37
Test loss: 0.22272561490535736, Accuracy: 93.41000000000001
Test loss: 0.2188161462545395, Accuracy: 93.38
Test loss: 0.21984639763832092, Accuracy: 93.49
Test loss: 0.2139558494091034, Accuracy: 93.47
Test loss: 0.21074363589286804, Accuracy: 93.74
Test loss: 0.20617586374282837, Accuracy: 93.8
Test loss: 0.20536518096923828, Accuracy: 93.77
Test loss: 0.1997513324022293, Accuracy: 94.06
