Test loss: 3.349231004714966, Accuracy: 16.504393255758725
Test loss: 2.440415143966675, Accuracy: 37.971978152457844
Test loss: 1.7616225481033325, Accuracy: 57.4922821182617
Test loss: 1.3251937627792358, Accuracy: 65.8275943956305
Test loss: 1.1090196371078491, Accuracy: 70.90952267869865
Test loss: 0.943000078201294, Accuracy: 73.80669674661601
Test loss: 0.8612468838691711, Accuracy: 75.5402517216813
Test loss: 0.7975086569786072, Accuracy: 77.32130135359772
Test loss: 0.7482614517211914, Accuracy: 78.43742578959866
Test loss: 0.7300224304199219, Accuracy: 79.43481358347186
Test loss: 0.7192375063896179, Accuracy: 79.52980289717408
Test loss: 0.6841041445732117, Accuracy: 80.81215863215388
Test loss: 0.6795366406440735, Accuracy: 80.52719069104725
Test loss: 0.6371123790740967, Accuracy: 81.83329375445263
Test loss: 0.6177240610122681, Accuracy: 82.42697696509143
Test loss: 0.6108905673027039, Accuracy: 82.07076703870814
