Test loss: 3.361785411834717, Accuracy: 22.31
Test loss: 2.862575054168701, Accuracy: 29.770000000000003
Test loss: 2.5933945178985596, Accuracy: 34.44
Test loss: 2.4688658714294434, Accuracy: 37.09
Test loss: 2.3519625663757324, Accuracy: 40.17
Test loss: 2.3047659397125244, Accuracy: 41.22
Test loss: 2.268563747406006, Accuracy: 42.28
Test loss: 2.236537218093872, Accuracy: 43.5
Test loss: 2.20365571975708, Accuracy: 44.32
Test loss: 2.166355848312378, Accuracy: 45.61
Test loss: 2.1516950130462646, Accuracy: 46.01
Test loss: 2.1336042881011963, Accuracy: 46.62
Test loss: 2.111201524734497, Accuracy: 47.23
Test loss: 2.1034140586853027, Accuracy: 47.4
Test loss: 2.102482795715332, Accuracy: 48.15
Test loss: 2.1011290550231934, Accuracy: 48.51
Test loss: 2.1203017234802246, Accuracy: 48.11
Test loss: 2.109269618988037, Accuracy: 48.47
