{'eval_loss': 3.0008277893066406, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.05363781200212427, 'eval_runtime': 9.0213, 'eval_samples_per_second': 834.91, 'eval_steps_per_second': 52.21}
{'eval_loss': 2.9983208179473877, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.05602761550716941, 'eval_runtime': 9.3106, 'eval_samples_per_second': 808.97, 'eval_steps_per_second': 50.587}
{'eval_loss': 2.994239568710327, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.06253319171534785, 'eval_runtime': 9.4678, 'eval_samples_per_second': 795.535, 'eval_steps_per_second': 49.747}
{'eval_loss': 2.991326332092285, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.06160382368560807, 'eval_runtime': 9.4435, 'eval_samples_per_second': 797.584, 'eval_steps_per_second': 49.875}
{'eval_loss': 2.98705792427063, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.06120552310143388, 'eval_runtime': 9.3691, 'eval_samples_per_second': 803.918, 'eval_steps_per_second': 50.272}
{'eval_loss': 2.9809443950653076, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.08258098778544876, 'eval_runtime': 9.2956, 'eval_samples_per_second': 810.272, 'eval_steps_per_second': 50.669}
{'eval_loss': 2.9734485149383545, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.08709506107275625, 'eval_runtime': 9.2449, 'eval_samples_per_second': 814.717, 'eval_steps_per_second': 50.947}
{'eval_loss': 2.9625415802001953, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.10979819437068508, 'eval_runtime': 9.1704, 'eval_samples_per_second': 821.334, 'eval_steps_per_second': 51.361}
{'eval_loss': 2.9480679035186768, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.11683483802442911, 'eval_runtime': 9.1142, 'eval_samples_per_second': 826.403, 'eval_steps_per_second': 51.678}
{'eval_loss': 2.9286725521087646, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.1528146574614976, 'eval_runtime': 9.092, 'eval_samples_per_second': 828.42, 'eval_steps_per_second': 51.804}
{'eval_loss': 2.9093124866485596, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.16197557089750397, 'eval_runtime': 9.148, 'eval_samples_per_second': 823.352, 'eval_steps_per_second': 51.487}
