{'eval_loss': 2.9983527660369873, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.05151354221986192, 'eval_runtime': 8.9602, 'eval_samples_per_second': 840.606, 'eval_steps_per_second': 52.566}
{'eval_loss': 2.9917078018188477, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.05894848645778014, 'eval_runtime': 9.3739, 'eval_samples_per_second': 803.504, 'eval_steps_per_second': 50.246}
{'eval_loss': 2.982680082321167, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.054567180031864046, 'eval_runtime': 9.5476, 'eval_samples_per_second': 788.886, 'eval_steps_per_second': 49.332}
{'eval_loss': 2.9643442630767822, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.07912904938927244, 'eval_runtime': 9.486, 'eval_samples_per_second': 794.009, 'eval_steps_per_second': 49.652}
{'eval_loss': 2.926791191101074, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.11630377057886351, 'eval_runtime': 9.4055, 'eval_samples_per_second': 800.809, 'eval_steps_per_second': 50.077}
{'eval_loss': 2.880749225616455, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.19065321295804566, 'eval_runtime': 9.3002, 'eval_samples_per_second': 809.875, 'eval_steps_per_second': 50.644}
{'eval_loss': 2.833893299102783, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.23619224641529474, 'eval_runtime': 9.2219, 'eval_samples_per_second': 816.753, 'eval_steps_per_second': 51.074}
{'eval_loss': 2.784738302230835, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.24375995751460436, 'eval_runtime': 9.1209, 'eval_samples_per_second': 825.793, 'eval_steps_per_second': 51.639}
{'eval_loss': 2.7382168769836426, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.21893255443441317, 'eval_runtime': 9.0368, 'eval_samples_per_second': 833.484, 'eval_steps_per_second': 52.12}
{'eval_loss': 2.7000842094421387, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.2383165161975571, 'eval_runtime': 9.063, 'eval_samples_per_second': 831.076, 'eval_steps_per_second': 51.97}
{'eval_loss': 2.6681933403015137, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.2295539033457249, 'eval_runtime': 9.084, 'eval_samples_per_second': 829.153, 'eval_steps_per_second': 51.85}
{'eval_loss': 2.6356563568115234, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.2611524163568773, 'eval_runtime': 9.1481, 'eval_samples_per_second': 823.337, 'eval_steps_per_second': 51.486}
{'eval_loss': 2.60451078414917, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.27695167286245354, 'eval_runtime': 9.1611, 'eval_samples_per_second': 822.169, 'eval_steps_per_second': 51.413}
{'eval_loss': 2.5783112049102783, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.2879713223579395, 'eval_runtime': 9.1227, 'eval_samples_per_second': 825.633, 'eval_steps_per_second': 51.629}
{'eval_loss': 2.5556764602661133, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.28398831651619755, 'eval_runtime': 9.327, 'eval_samples_per_second': 807.549, 'eval_steps_per_second': 50.499}
{'eval_loss': 2.539052724838257, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.30005310674455654, 'eval_runtime': 9.1042, 'eval_samples_per_second': 827.311, 'eval_steps_per_second': 51.734}
{'eval_loss': 2.5160913467407227, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.33231545406266594, 'eval_runtime': 9.1523, 'eval_samples_per_second': 822.963, 'eval_steps_per_second': 51.463}
{'eval_loss': 2.5016417503356934, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.3315188528943176, 'eval_runtime': 9.0981, 'eval_samples_per_second': 827.865, 'eval_steps_per_second': 51.769}
{'eval_loss': 2.485834836959839, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.33882103027084437, 'eval_runtime': 9.1315, 'eval_samples_per_second': 824.835, 'eval_steps_per_second': 51.58}
