{'eval_loss': 2.9922475814819336, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.05483271375464684, 'eval_runtime': 8.5948, 'eval_samples_per_second': 876.347, 'eval_steps_per_second': 54.801}
{'eval_loss': 2.966853380203247, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.08151885289431758, 'eval_runtime': 8.8915, 'eval_samples_per_second': 847.104, 'eval_steps_per_second': 52.972}
{'eval_loss': 2.893068790435791, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.14232607541157727, 'eval_runtime': 9.0482, 'eval_samples_per_second': 832.427, 'eval_steps_per_second': 52.054}
{'eval_loss': 2.8033204078674316, 'eval_model_preparation_time': 0.0031, 'eval_acc': 0.23898035050451408, 'eval_runtime': 9.2281, 'eval_samples_per_second': 816.2, 'eval_steps_per_second': 51.04}
{'eval_loss': 2.702641725540161, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.266728624535316, 'eval_runtime': 9.2393, 'eval_samples_per_second': 815.213, 'eval_steps_per_second': 50.978}
{'eval_loss': 2.6199212074279785, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.2936802973977695, 'eval_runtime': 9.2225, 'eval_samples_per_second': 816.702, 'eval_steps_per_second': 51.071}
{'eval_loss': 2.5539798736572266, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.34492830589484863, 'eval_runtime': 9.1051, 'eval_samples_per_second': 827.228, 'eval_steps_per_second': 51.729}
{'eval_loss': 2.4978692531585693, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.34028146574614976, 'eval_runtime': 9.0935, 'eval_samples_per_second': 828.286, 'eval_steps_per_second': 51.795}
{'eval_loss': 2.4451816082000732, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.3471853425385024, 'eval_runtime': 9.1138, 'eval_samples_per_second': 826.436, 'eval_steps_per_second': 51.68}
{'eval_loss': 2.3952226638793945, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.356080722251726, 'eval_runtime': 9.2167, 'eval_samples_per_second': 817.216, 'eval_steps_per_second': 51.103}
{'eval_loss': 2.3525078296661377, 'eval_model_preparation_time': 0.0041, 'eval_acc': 0.3832979288369623, 'eval_runtime': 9.2891, 'eval_samples_per_second': 810.847, 'eval_steps_per_second': 50.705}
{'eval_loss': 2.3151683807373047, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.39657461497610197, 'eval_runtime': 9.3742, 'eval_samples_per_second': 803.479, 'eval_steps_per_second': 50.244}
{'eval_loss': 2.2842044830322266, 'eval_model_preparation_time': 0.0031, 'eval_acc': 0.395910780669145, 'eval_runtime': 9.3095, 'eval_samples_per_second': 809.063, 'eval_steps_per_second': 50.593}
{'eval_loss': 2.25154185295105, 'eval_model_preparation_time': 0.0031, 'eval_acc': 0.41038236856080723, 'eval_runtime': 9.1666, 'eval_samples_per_second': 821.683, 'eval_steps_per_second': 51.382}
{'eval_loss': 2.227813482284546, 'eval_model_preparation_time': 0.0047, 'eval_acc': 0.4052044609665427, 'eval_runtime': 9.0897, 'eval_samples_per_second': 828.626, 'eval_steps_per_second': 51.817}
{'eval_loss': 2.2054543495178223, 'eval_model_preparation_time': 0.004, 'eval_acc': 0.4154275092936803, 'eval_runtime': 9.0943, 'eval_samples_per_second': 828.207, 'eval_steps_per_second': 51.79}
{'eval_loss': 2.178647756576538, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.4228624535315985, 'eval_runtime': 8.9225, 'eval_samples_per_second': 844.157, 'eval_steps_per_second': 52.788}
{'eval_loss': 2.157360315322876, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.43720127456186936, 'eval_runtime': 8.9376, 'eval_samples_per_second': 842.728, 'eval_steps_per_second': 52.698}
{'eval_loss': 2.139021635055542, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.4279075942644716, 'eval_runtime': 8.9992, 'eval_samples_per_second': 836.966, 'eval_steps_per_second': 52.338}
{'eval_loss': 2.1248490810394287, 'eval_model_preparation_time': 0.0024, 'eval_acc': 0.43003186404673394, 'eval_runtime': 9.0098, 'eval_samples_per_second': 835.977, 'eval_steps_per_second': 52.276}
{'eval_loss': 2.106574296951294, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.42525225703664365, 'eval_runtime': 8.9952, 'eval_samples_per_second': 837.339, 'eval_steps_per_second': 52.361}
{'eval_loss': 2.082183361053467, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.44530005310674453, 'eval_runtime': 8.9553, 'eval_samples_per_second': 841.068, 'eval_steps_per_second': 52.595}
{'eval_loss': 2.0678818225860596, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.4564524694636219, 'eval_runtime': 8.916, 'eval_samples_per_second': 844.774, 'eval_steps_per_second': 52.826}
{'eval_loss': 2.055922746658325, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.46083377588953794, 'eval_runtime': 8.8542, 'eval_samples_per_second': 850.669, 'eval_steps_per_second': 53.195}
{'eval_loss': 2.043314218521118, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.469198088157196, 'eval_runtime': 8.8149, 'eval_samples_per_second': 854.464, 'eval_steps_per_second': 53.432}
{'eval_loss': 2.027573585510254, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.4677376526818906, 'eval_runtime': 8.8208, 'eval_samples_per_second': 853.889, 'eval_steps_per_second': 53.396}
{'eval_loss': 2.0157876014709473, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.4915029208709506, 'eval_runtime': 8.9508, 'eval_samples_per_second': 841.494, 'eval_steps_per_second': 52.621}
{'eval_loss': 2.0013341903686523, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.4880509824747743, 'eval_runtime': 9.0979, 'eval_samples_per_second': 827.882, 'eval_steps_per_second': 51.77}
{'eval_loss': 1.9882073402404785, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.4840679766330324, 'eval_runtime': 9.1319, 'eval_samples_per_second': 824.802, 'eval_steps_per_second': 51.578}
{'eval_loss': 1.9793720245361328, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.4917684545937334, 'eval_runtime': 9.1039, 'eval_samples_per_second': 827.334, 'eval_steps_per_second': 51.736}
{'eval_loss': 1.9645302295684814, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.48990971853425386, 'eval_runtime': 9.0202, 'eval_samples_per_second': 835.014, 'eval_steps_per_second': 52.216}
{'eval_loss': 1.953476071357727, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.5118162506638343, 'eval_runtime': 8.9845, 'eval_samples_per_second': 838.337, 'eval_steps_per_second': 52.424}
{'eval_loss': 1.9421547651290894, 'eval_model_preparation_time': 0.0025, 'eval_acc': 0.5103558151885289, 'eval_runtime': 8.93, 'eval_samples_per_second': 843.448, 'eval_steps_per_second': 52.743}
{'eval_loss': 1.9353808164596558, 'eval_model_preparation_time': 0.0023, 'eval_acc': 0.5038502389803505, 'eval_runtime': 8.9774, 'eval_samples_per_second': 838.998, 'eval_steps_per_second': 52.465}
{'eval_loss': 1.9167909622192383, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.5439458311205523, 'eval_runtime': 8.9944, 'eval_samples_per_second': 837.408, 'eval_steps_per_second': 52.366}
{'eval_loss': 1.9038861989974976, 'eval_model_preparation_time': 0.0036, 'eval_acc': 0.541157727031333, 'eval_runtime': 9.0693, 'eval_samples_per_second': 830.491, 'eval_steps_per_second': 51.933}
{'eval_loss': 1.8979508876800537, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.5300053106744557, 'eval_runtime': 9.0416, 'eval_samples_per_second': 833.036, 'eval_steps_per_second': 52.092}
{'eval_loss': 1.8868120908737183, 'eval_model_preparation_time': 0.0045, 'eval_acc': 0.5312002124269782, 'eval_runtime': 9.1302, 'eval_samples_per_second': 824.959, 'eval_steps_per_second': 51.587}
{'eval_loss': 1.8785227537155151, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.5426181625066383, 'eval_runtime': 9.0892, 'eval_samples_per_second': 828.679, 'eval_steps_per_second': 51.82}
{'eval_loss': 1.8708486557006836, 'eval_model_preparation_time': 0.003, 'eval_acc': 0.5423526287838556, 'eval_runtime': 9.096, 'eval_samples_per_second': 828.058, 'eval_steps_per_second': 51.781}
{'eval_loss': 1.858363151550293, 'eval_model_preparation_time': 0.0032, 'eval_acc': 0.554567180031864, 'eval_runtime': 9.146, 'eval_samples_per_second': 823.533, 'eval_steps_per_second': 51.498}
{'eval_loss': 1.8501369953155518, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.5419543281996814, 'eval_runtime': 9.1803, 'eval_samples_per_second': 820.454, 'eval_steps_per_second': 51.306}
{'eval_loss': 1.8398040533065796, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.5496548061603823, 'eval_runtime': 9.1548, 'eval_samples_per_second': 822.735, 'eval_steps_per_second': 51.448}
{'eval_loss': 1.836227297782898, 'eval_model_preparation_time': 0.003, 'eval_acc': 0.5638608603292619, 'eval_runtime': 9.1698, 'eval_samples_per_second': 821.389, 'eval_steps_per_second': 51.364}
