{'eval_loss': 2.9915521144866943, 'eval_model_preparation_time': 0.0022, 'eval_acc': 0.056691449814126396, 'eval_runtime': 8.637, 'eval_samples_per_second': 872.066, 'eval_steps_per_second': 54.533}
{'eval_loss': 2.9659719467163086, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.08802442910249601, 'eval_runtime': 8.824, 'eval_samples_per_second': 853.584, 'eval_steps_per_second': 53.377}
{'eval_loss': 2.8709397315979004, 'eval_model_preparation_time': 0.0032, 'eval_acc': 0.15095592140201805, 'eval_runtime': 9.0281, 'eval_samples_per_second': 834.283, 'eval_steps_per_second': 52.17}
{'eval_loss': 2.7299065589904785, 'eval_model_preparation_time': 0.0028, 'eval_acc': 0.23619224641529474, 'eval_runtime': 9.0368, 'eval_samples_per_second': 833.479, 'eval_steps_per_second': 52.12}
{'eval_loss': 2.625718593597412, 'eval_model_preparation_time': 0.0035, 'eval_acc': 0.2501327668613914, 'eval_runtime': 9.0378, 'eval_samples_per_second': 833.391, 'eval_steps_per_second': 52.115}
{'eval_loss': 2.5220019817352295, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.32912904938927245, 'eval_runtime': 8.9962, 'eval_samples_per_second': 837.24, 'eval_steps_per_second': 52.355}
{'eval_loss': 2.4394006729125977, 'eval_model_preparation_time': 0.0034, 'eval_acc': 0.355416887944769, 'eval_runtime': 8.9882, 'eval_samples_per_second': 837.985, 'eval_steps_per_second': 52.402}
{'eval_loss': 2.369030475616455, 'eval_model_preparation_time': 0.003, 'eval_acc': 0.3591343600637281, 'eval_runtime': 8.8238, 'eval_samples_per_second': 853.598, 'eval_steps_per_second': 53.378}
{'eval_loss': 2.316347122192383, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.3592671269251195, 'eval_runtime': 8.9215, 'eval_samples_per_second': 844.252, 'eval_steps_per_second': 52.794}
{'eval_loss': 2.2669131755828857, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.379845990440786, 'eval_runtime': 8.9853, 'eval_samples_per_second': 838.258, 'eval_steps_per_second': 52.419}
{'eval_loss': 2.2274796962738037, 'eval_model_preparation_time': 0.0029, 'eval_acc': 0.4037440254912374, 'eval_runtime': 9.0176, 'eval_samples_per_second': 835.256, 'eval_steps_per_second': 52.231}
{'eval_loss': 2.191185474395752, 'eval_model_preparation_time': 0.0026, 'eval_acc': 0.41263940520446096, 'eval_runtime': 9.0929, 'eval_samples_per_second': 828.34, 'eval_steps_per_second': 51.799}
{'eval_loss': 2.161297559738159, 'eval_model_preparation_time': 0.0034, 'eval_acc': 0.42511949017525225, 'eval_runtime': 9.0543, 'eval_samples_per_second': 831.867, 'eval_steps_per_second': 52.019}
{'eval_loss': 2.130559206008911, 'eval_model_preparation_time': 0.0027, 'eval_acc': 0.43441317047265005, 'eval_runtime': 8.8508, 'eval_samples_per_second': 850.994, 'eval_steps_per_second': 53.215}
{'eval_loss': 2.1025092601776123, 'eval_model_preparation_time': 0.0044, 'eval_acc': 0.4309612320764737, 'eval_runtime': 8.9177, 'eval_samples_per_second': 844.617, 'eval_steps_per_second': 52.817}
{'eval_loss': 2.0833795070648193, 'eval_model_preparation_time': 0.0034, 'eval_acc': 0.4638874137015401, 'eval_runtime': 8.7959, 'eval_samples_per_second': 856.312, 'eval_steps_per_second': 53.548}
{'eval_loss': 2.0600790977478027, 'eval_model_preparation_time': 0.0021, 'eval_acc': 0.45698353690918747, 'eval_runtime': 8.7336, 'eval_samples_per_second': 862.42, 'eval_steps_per_second': 53.93}
