Test loss: 3.317314386367798, Accuracy: 17.19306578009974
Test loss: 2.393343448638916, Accuracy: 39.183091902161
Test loss: 1.71397864818573, Accuracy: 58.39468059843268
Test loss: 1.2840893268585205, Accuracy: 67.13369745903586
Test loss: 1.0800775289535522, Accuracy: 71.14699596295416
Test loss: 0.9489856958389282, Accuracy: 73.42673949180717
Test loss: 0.8339748978614807, Accuracy: 76.5376395155545
Test loss: 0.7809959053993225, Accuracy: 77.91498456423652
Test loss: 0.7337676882743835, Accuracy: 78.84113037283306
Test loss: 0.7258497476577759, Accuracy: 79.50605556874851
Test loss: 0.6998312473297119, Accuracy: 79.98100213725957
Test loss: 0.6712963581085205, Accuracy: 80.43220137734505
Test loss: 0.6590248942375183, Accuracy: 80.64592733317501
Test loss: 0.6270288228988647, Accuracy: 82.11826169555924
Test loss: 0.6091111898422241, Accuracy: 82.6407029209214
Test loss: 0.5960643291473389, Accuracy: 82.66445024934694
