Test loss: 3.3501718044281006, Accuracy: 16.908097838993115
Test loss: 2.4404001235961914, Accuracy: 37.68701021135122
Test loss: 1.7734637260437012, Accuracy: 57.373545476133934
Test loss: 1.3286244869232178, Accuracy: 65.9225837093327
Test loss: 1.1097075939178467, Accuracy: 70.76703870814534
Test loss: 0.947051465511322, Accuracy: 73.45048682023273
Test loss: 0.8617146611213684, Accuracy: 75.63524103538352
Test loss: 0.8004842400550842, Accuracy: 77.25005936832106
Test loss: 0.7522161602973938, Accuracy: 78.46117311802422
Test loss: 0.7333810329437256, Accuracy: 79.3160769413441
Test loss: 0.7134475708007812, Accuracy: 79.55355022559962
Test loss: 0.677773118019104, Accuracy: 80.9071479458561
Test loss: 0.6766900420188904, Accuracy: 80.55093801947281
Test loss: 0.637295126914978, Accuracy: 81.90453573972928
Test loss: 0.6137557029724121, Accuracy: 82.30824032296367
Test loss: 0.6084017157554626, Accuracy: 82.0470197102826
