Test loss: 1.7600079774856567, Accuracy: 53.76549094375596
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
Test loss: nan, Accuracy: 3.145853193517636
