Test loss: 1.8765016794204712, Accuracy: 30.259999999999998
Test loss: 1.6372108459472656, Accuracy: 36.94
Test loss: 1.4950273036956787, Accuracy: 43.04
Test loss: 1.3692835569381714, Accuracy: 48.27
Test loss: 1.3572136163711548, Accuracy: 49.16
Test loss: 1.3129180669784546, Accuracy: 52.33
Test loss: 1.1916277408599854, Accuracy: 56.85
Test loss: 1.1657477617263794, Accuracy: 58.07
Test loss: 1.0795992612838745, Accuracy: 61.49
Test loss: 1.0957285165786743, Accuracy: 61.19
Test loss: 1.1019847393035889, Accuracy: 62.21
Test loss: 1.0483061075210571, Accuracy: 64.02
Test loss: 1.0605555772781372, Accuracy: 63.42
Test loss: 1.0179550647735596, Accuracy: 64.62
Test loss: 0.98652184009552, Accuracy: 66.85
Test loss: 1.0224207639694214, Accuracy: 66.08000000000001
Test loss: 1.0975768566131592, Accuracy: 64.37
Test loss: 0.9549174904823303, Accuracy: 67.73
Test loss: 0.926971971988678, Accuracy: 68.4
Test loss: 1.02039635181427, Accuracy: 66.42
