Test loss: 3.404200553894043, Accuracy: 21.77
Test loss: 2.901871681213379, Accuracy: 28.62
Test loss: 2.6328020095825195, Accuracy: 33.879999999999995
Test loss: 2.467956066131592, Accuracy: 37.01
Test loss: 2.3814358711242676, Accuracy: 39.290000000000006
Test loss: 2.3158419132232666, Accuracy: 41.29
Test loss: 2.2711520195007324, Accuracy: 41.949999999999996
Test loss: 2.235473155975342, Accuracy: 43.57
Test loss: 2.2094812393188477, Accuracy: 44.5
Test loss: 2.167060375213623, Accuracy: 44.82
Test loss: 2.1429696083068848, Accuracy: 46.21
Test loss: 2.1319262981414795, Accuracy: 46.339999999999996
Test loss: 2.110517740249634, Accuracy: 46.67
Test loss: 2.095865249633789, Accuracy: 47.589999999999996
Test loss: 2.0867092609405518, Accuracy: 48.08
Test loss: 2.088175058364868, Accuracy: 48.88
Test loss: 2.1017181873321533, Accuracy: 48.58
Test loss: 2.0912764072418213, Accuracy: 48.84
