Test loss: 3.3435962200164795, Accuracy: 22.03
Test loss: 2.850905418395996, Accuracy: 29.549999999999997
Test loss: 2.599271774291992, Accuracy: 34.18
Test loss: 2.4753684997558594, Accuracy: 37.07
Test loss: 2.3569819927215576, Accuracy: 39.57
Test loss: 2.300062894821167, Accuracy: 41.99
Test loss: 2.262540340423584, Accuracy: 42.53
Test loss: 2.2282707691192627, Accuracy: 43.46
Test loss: 2.203315496444702, Accuracy: 44.26
Test loss: 2.160632848739624, Accuracy: 45.65
Test loss: 2.1446640491485596, Accuracy: 46.379999999999995
Test loss: 2.1360180377960205, Accuracy: 46.44
Test loss: 2.112475633621216, Accuracy: 47.28
Test loss: 2.103151559829712, Accuracy: 47.55
Test loss: 2.0934834480285645, Accuracy: 47.83
Test loss: 2.0935959815979004, Accuracy: 48.18
Test loss: 2.1247851848602295, Accuracy: 48.14
Test loss: 2.1177520751953125, Accuracy: 48.83
